name,enabled,hijack,next_plant,rarety,rarety_grass_drop,rarety_junglegrass_drop,rarety_decoration,steps,harvest_max,eat_hp,drink,to_culture,to_dig,has_harvest,on_soil,is_bush,punchable,wiltable,infectable,infection_defence,seed_extractable,no_seed,use_flail,use_trellis,for_coffee,seed_roastable,seed_grindable,for_flour,snappy,damage_per_second,liquid_viscosity,temperature_min,temperature_max,humidity_min,humidity_max,elevation_min,elevation_max,light_min,light_max,infect_rate_base,infect_rate_monoculture,spread_rate,grow_time_mean,wilt_time,straw,culture_rate,seed_drop,grind,roast,spawn_by
default,1,,,5,,,,8,3,1,,,,,,,,,,,,,,,,,,,3,,,15,80,10,80,-20,200,11,14,1000,90,1,120,6400,,,,,,
barley,1,,,10,15,,,7,,,,,,1,1,,,2,1,,,,1,,1,3,,1,3,,2,25,,30,,,,,,,,.01,,,farming:straw,,,farming:flour,farming:grain_roasted,
beetroot,1,,,5,,,,5,,2,,,1,,1,,,,,,,,,,,,,,3,,,35,,30,,,,9,,,,.1,,,,,,,,
blackberry,1,,,10,,,0.001,4,,,4,,,,,1,1,1,,,,,,,,,,,3,1,4,,90,20,,,,9,,,,.1,,,,,,,,
blueberry,1,,,5,,,0.001,4,,,4,,,,,1,1,1,,,,,,,,,,,3,,,45,90,40,90,,,9,,,,.1,,,,,,,,
carrot,1,,,5,20,,,8,,2,2,,1,,1,,,,,,,,,,,2,,,3,,,,,30,90,,,8,,,,.1,,,,,,,farming:carrot_gold,
chili,1,,,5,,,,8,,,,,,,,,1,,,,,,,,,,,,3,,,55,90,,,20,1000,,,,,.1,,,,,,,,
coffee,1,,,5,,,,5,,,,,,,,,1,,,,,,,,1,4,,,3,,,55,120,50,150,20,1000,12,,,,.1,,,,,,,,
corn,1,,,10,,35,,8,4,2,,,,,1,,,2,1,,,,,,,4,1,,3,,2,35,90,30,,,,,,,,.001,,,,,,,farming:corn_cob,
cotton,1,,,10,10,10,0.001,8,,0,,,,1,1,,,,1,,,,1,,,,,,3,,2,45,90,20,,,,12,,,,.01,,,,,,,,
culturewheat,1,,,1,,,,4,4,,,1,,1,1,,,2,2,,,,1,,1,3,,1,3,,2,25,,40,,,,10,,700,75,,,2400,farming:straw,,,farming:flour,farming:grain_roasted,
flax,,,,10,,,,7,,0,,,,1,1,,,,1,,,,1,,,,,,3,,2,25,,30,,,,,,,,,,,farming:flaw,,,,,
garlic,1,,,10,,,,5,4,,,,1,,1,,,,,1,,,,,,3,,,3,,,,,,,,,,,,,.1,,,,,,,,
grapes,,,,1,,,,8,,2,5,1,,,1,,1,,1,,,,,1,,,,,3,,3,,,,,,,,,,,,,,,,farming:wildgrapes_seed,,,
hemp,1,,,25,,,,8,,0,,,,1,,,,,,,,,1,,,,,,3,,2,,120,,,,,8,,,,1,55,360,farming:hemp_fibre,,,,,
hop,1,,,10,,,,7,,,,1,,,1,,1,2,2,,,,,1,,4,,,3,,2,55,,,,,50,,,,,.1,,,,,farming:wildhop_seed,,,
mustard,1,,,5,,,,5,,,,,,,,,,,1,,,,,,,,2,,3,,,,,,,,,,,,,.1,,,,,,,,
onion,,,,10,,,,5,,,,,1,,1,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
potato,1,,,10,50,,,4,4,2,2,,,,1,,,2,1,,,,,,,4,1,,3,,2,,,,60,,,,,550,75,.01,,,,,,,farming:potato_baked,
raspberry,1,,,10,,,0.001,4,,,4,,,,,1,1,1,,,,,,,,,,,3,1,4,,,,,,,9,,,,.1,,,,,,,,group:tree
rhubarb,1,,,5,,,,3,,2,3,,1,,1,,,,,,,,,,,,,,3,,,,,,,,,9,,,,.1,,,,,,,,
spelt,1,,,10,15,,,7,,,,,,1,1,,,2,1,,,,1,,,3,,1,3,,2,,,,,,,,,,,.01,,,farming:straw,,,farming:flour,farming:grain_roasted,
strawberry,1,ethereal:strawberry,,10,,,,8,,4,4,,,,,1,1,1,,,,,,,,,,,3,,,,,,,,,9,,,,.1,,,,,,,,
sugarbeet,1,,,5,,,,5,,2,,,1,,1,,,,,,,,,,,,,,3,,,35,,30,,,,9,,,,.1,,,,,,,,
tea,1,,,5,,,,8,,,,,,,1,,1,,,,1,,,,,4,,,3,,2,30,70,30,70,20,1000,,,,,.1,,,,,farming:tea_leaves,,farming:tea_black,
tobaco,1,,,5,,50,,8,,,,,,,1,,1,,,2,1,,,,,4,,,3,,,,,,,,1000,,,,,.1,,,,,farming:tobaco_leaves,,,
tomato,1,,,5,,,,8,,2,8,,,1,1,,1,1,1,,,,,1,,,,,3,,,,,,,,,,,,,.1,,,,,,,,
nettle,1,,,25,,,0.001,5,,,,,,1,,,1,3,,1,,,1,,,2,,,3,1,3,5,150,0,100,,2000,8,,,,1,50,240,farming:nettle_fibre,,,,,
wheat,1,,farming:culturewheat,10,10,,,8,,,,,,1,1,,,2,1,,,,1,,1,3,,1,3,,2,,,30,70,,,,,,,.01,70,3600,farming:straw,10,,farming:flour,farming:grain_roasted,
wildoat,1,,,10,,,,7,,,,,,1,1,,,2,1,,,,1,,1,3,,1,3,,2,,,30,70,,,,,,,,70,3600,farming:straw,,,farming:flour,farming:grain_roasted,
wildgrapes,,,,10,,,,4,,,4,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,5,,,,
